{
{ -3.61107f, 7.24704f, -5.95797f, -8.22742f, 4.93646f, -9.14215f, 3.54904f, -4.61686f, -0.71594f, -15.54136f, -18.60984f, -0.49994f, -2.18490f, -4.45848f, 4.17302f, -8.04931f },
{ 3.90790f, -6.71837f, -21.82789f, 2.30668f, 4.29986f, 4.66539f, -1.11944f, -7.96653f, 4.57103f, 2.71003f, -6.65469f, -4.21710f, 3.72226f, -11.80444f, -1.97867f, -7.47170f },
{ -15.26077f, -4.60301f, -11.69501f, 5.81488f, -18.14084f, 1.20933f, 8.75747f, 8.05873f, -5.54853f, 0.05570f, -1.09998f, 11.09724f, -4.98163f, -16.06242f, -6.62634f, 5.64079f },
{ -6.32306f, -1.54189f, -13.04903f, 10.59726f, 2.09915f, -33.76524f, 12.39113f, 8.03284f, -13.00379f, -2.68121f, -4.62649f, -4.70596f, -6.02509f, -13.82947f, -9.65659f, 1.99878f },
{ -7.90046f, 12.11635f, -18.96592f, 19.33069f, 5.04662f, -11.57295f, 11.00144f, -6.17265f, 15.27075f, 19.40592f, 2.94443f, -17.60430f, 0.74992f, -20.18399f, 12.62092f, 0.87694f },
{ -7.59360f, 2.79940f, -9.86177f, 4.50233f, -9.24309f, 17.07349f, -20.00046f, 11.36377f, -20.87964f, 16.40490f, 3.43918f, -6.74286f, 7.87061f, -14.90938f, 1.60954f, -5.47890f },
{ -6.19349f, -5.65413f, -4.28176f, 10.45732f, -4.59759f, 8.44691f, 13.80597f, 1.18628f, 22.51993f, 21.80854f, 1.58186f, -14.12891f, 16.12701f, -1.88296f, -4.80693f, 4.66089f },
{ -13.45816f, 8.98444f, 25.48454f, -3.34854f, 13.33230f, -6.37159f, 0.01649f, -19.16415f, -3.81687f, 0.57017f, -9.17994f, 1.08538f, 9.51855f, -4.42578f, 20.56600f, -7.60394f },
{ 4.36578f, -9.66449f, -10.29949f, 7.60513f, 4.89361f, -7.17208f, -8.34224f, -9.48980f, -5.66704f, 11.47582f, -22.69789f, 3.24689f, 12.38925f, 23.82520f, 9.92462f, -4.84046f },
{ 14.42392f, 10.16459f, 5.32266f, -3.16791f, 4.62842f, -3.53380f, -3.01789f, -13.78897f, -6.98407f, -2.93577f, -3.94244f, 7.64096f, -3.36618f, 6.61207f, -5.07311f, -23.81124f },
{ -3.00286f, 2.38731f, 17.63046f, 3.33582f, -0.84771f, 0.05999f, 8.50414f, -9.61865f, -17.98601f, 12.99904f, 10.74658f, 2.96956f, -8.26878f, -7.90085f, -11.46161f, 16.78388f },
{ 8.93030f, 10.81456f, 5.86528f, -14.82439f, 15.87090f, -20.66373f, 4.31157f, -0.80980f, 4.55915f, 6.59910f, 2.28417f, -9.19072f, 4.25703f, 9.50658f, -4.30956f, -5.52267f },
{ 16.30979f, -16.24228f, 18.07348f, 17.59350f, 2.19730f, 2.24364f, -9.42634f, -19.55464f, 10.16998f, 2.52310f, 4.87528f, 10.47412f, 9.02187f, 9.68447f, 6.47696f, 9.06602f },
{ -3.51377f, 9.49261f, 16.77356f, -0.82947f, -19.65094f, -21.48404f, 4.41448f, 0.04593f, 4.27569f, 12.63902f, 4.39273f, -6.74270f, -4.26451f, -1.85759f, 18.34240f, -12.48242f },
{ 10.83177f, 3.16040f, 17.90970f, -7.06084f, 3.64017f, -11.84306f, 4.31763f, -16.18489f, -1.21467f, -6.08171f, 10.15669f, 8.32633f, 2.26876f, -0.55057f, 2.29510f, -11.46421f },
{ -6.09703f, 15.65798f, -1.54954f, -1.94809f, -26.99031f, 3.56470f, 14.17700f, -5.14938f, -2.99991f, -12.11275f, 5.64972f, 5.52528f, 3.51806f, 12.68938f, 10.37518f, 5.86620f },
{ 11.95120f, 3.08325f, -0.02343f, -4.31962f, 3.97253f, -10.86509f, 11.58257f, -5.83967f, 3.46966f, -2.41805f, 2.43548f, -6.05419f, 0.64806f, -6.84251f, 6.94930f, -6.26472f },
{ -2.79828f, -18.22293f, 9.34779f, 3.38334f, 3.25830f, 11.83781f, 4.71601f, 3.35584f, -9.37040f, -15.19798f, 9.01788f, 3.23202f, -11.39316f, -8.43582f, 5.99853f, -1.75118f },
{ 3.37403f, -5.21534f, -8.29471f, 10.04856f, 4.79286f, -14.48656f, 2.17856f, -7.98692f, 12.86823f, 8.47213f, -14.19801f, 3.06397f, -2.38932f, -6.82615f, -2.73689f, -14.79375f },
{ -6.33247f, 2.10052f, -7.69679f, -3.86709f, -4.99585f, 9.20887f, 1.20310f, -14.90907f, 6.11382f, 12.09907f, 1.91490f, 0.12362f, 5.00109f, -3.46929f, -11.56192f, 2.67399f },
{ 13.35755f, -5.72486f, 11.40695f, 4.74877f, -10.20015f, -14.72293f, 9.18360f, -2.72284f, 11.66627f, -2.39080f, -4.95407f, -3.67852f, -0.78828f, -15.98780f, 18.84390f, -2.19528f },
{ 6.12381f, -8.14008f, -4.03084f, 8.35540f, -0.32650f, 10.77535f, 3.34946f, -15.25609f, 5.94220f, -19.65384f, 4.14982f, 8.81288f, -2.96125f, 11.80987f, -7.85982f, 7.36288f },
{ -9.73642f, 8.13038f, 25.26887f, 9.35225f, -1.25111f, -1.82174f, 0.08235f, 0.64886f, 16.57219f, 6.86955f, -4.94223f, 2.84351f, 9.34400f, -1.47856f, 3.52066f, 16.57629f },
{ 6.11396f, 5.79574f, 1.79514f, -10.75107f, -6.31142f, -2.38235f, 6.01263f, -9.33668f, -4.43836f, 0.74351f, -26.64475f, 9.38669f, -1.65515f, 4.11352f, 0.92515f, -16.57601f },
{ -10.83741f, 11.82642f, -4.06365f, -5.86778f, 5.88581f, 2.73099f, 0.43413f, 9.93995f, 18.49048f, -11.51172f, -0.99299f, 10.78840f, -3.83733f, 13.91075f, 14.27861f, -1.93923f },
{ -7.80723f, -6.48268f, 15.04929f, 3.98275f, -3.26874f, -2.30042f, -11.04545f, -4.42312f, -11.96041f, 6.46493f, -4.56125f, -4.78889f, -17.20132f, 4.83098f, 1.42006f, 2.95859f },
{ 1.20889f, -3.63738f, 2.30530f, -3.91640f, 10.00575f, -4.25923f, 20.43403f, 2.38036f, -3.08034f, 8.20659f, 23.67185f, 1.00061f, 6.73577f, -0.58961f, 3.39166f, -9.25150f },
{ 10.95924f, 8.71919f, -7.07868f, -3.50256f, -7.41300f, -16.12636f, 11.85585f, -8.81992f, 5.82980f, 4.63137f, -11.09739f, 6.88656f, -1.78941f, 8.61985f, -10.81434f, 10.29487f },
{ -4.12860f, -12.23238f, 16.03929f, -11.46259f, 14.91917f, 8.39367f, 19.31043f, 3.80298f, -2.13730f, 3.74773f, -9.29909f, -8.47777f, -16.99469f, -15.61399f, -3.50035f, 0.83982f },
{ 5.05287f, -11.58290f, -10.57524f, -13.31868f, -8.55803f, -5.39462f, -6.92627f, -2.73956f, 13.08842f, 9.43761f, 15.19327f, -4.62353f, 14.45815f, 0.74266f, -1.84365f, -14.42396f },
{ 15.20419f, -11.87357f, 5.77594f, 2.44597f, 1.36197f, 0.37445f, -3.74968f, 1.71816f, -11.30259f, 13.93330f, 19.39493f, -2.37136f, 3.07330f, -8.03804f, 5.86137f, 16.83427f },
{ 11.17295f, -4.65319f, -12.07779f, -7.31852f, 0.99491f, 0.97513f, -7.07668f, -2.73030f, -3.76850f, -4.69047f, 10.90916f, 9.89050f, -6.37864f, 1.61971f, 2.68689f, 25.96543f },
{ -4.35286f, 15.93522f, -0.92078f, -9.64780f, -1.72126f, 13.81691f, -4.20198f, 2.69148f, -9.55556f, -3.93670f, 1.79395f, -12.32784f, 11.15190f, 10.47441f, -7.86448f, -3.62319f },
{ -16.67768f, -3.15228f, -1.55470f, 3.11209f, 2.01528f, 4.65823f, 10.92499f, 4.22935f, -2.57929f, 4.58721f, -3.86752f, 7.64515f, 2.06722f, 9.58213f, 8.04200f, 1.80378f },
{ 0.67134f, -0.21748f, -16.98350f, -8.82124f, -2.63693f, 13.17569f, 5.93012f, -14.46980f, -0.32478f, -2.49123f, -14.76737f, -1.88601f, 0.90476f, 3.30827f, 25.88819f, 1.18881f },
{ -3.64126f, -10.83741f, 4.35206f, 1.05093f, -10.29386f, -13.78243f, -1.26346f, 6.67303f, -11.32721f, 9.63038f, 9.73728f, 17.16695f, 7.29552f, -5.58099f, -1.73999f, 10.45198f },
{ 11.31110f, -16.50970f, 5.03082f, -2.44268f, -2.13955f, -8.78973f, -17.88299f, 2.29112f, 7.33102f, 0.86256f, -0.08248f, 8.11139f, -4.91919f, 6.83815f, 18.99189f, -0.72284f },
{ 7.29964f, -6.55559f, 6.44071f, 13.05706f, 5.21101f, -5.34482f, 8.64259f, 9.23094f, 1.19441f, -24.29764f, -18.87913f, -24.67567f, -4.81491f, 12.34592f, -2.48869f, -12.58233f },
{ -3.63864f, 6.11935f, -2.00270f, 7.86841f, 1.42853f, 3.72222f, 6.28883f, 0.83393f, 8.25992f, -10.58650f, -2.44103f, 0.65399f, 5.12163f, -6.78700f, -2.38862f, -3.06204f },
{ -2.23294f, 7.12697f, 9.25422f, -3.02493f, -1.19365f, 6.56634f, -1.97633f, 15.43203f, 6.84206f, 10.52423f, 3.46633f, -3.42473f, 5.60310f, -6.90948f, -16.57717f, 3.68279f },
{ -5.75480f, 8.18269f, -4.12573f, -3.61992f, -7.38042f, -4.59499f, 4.61658f, 2.53892f, 19.92526f, -7.99317f, 9.11680f, 13.22935f, 0.56021f, -7.88519f, -7.00473f, -11.63572f },
{ 4.95290f, -6.12733f, 9.25403f, 7.14139f, -5.57310f, -14.39654f, 10.51971f, -11.19083f, -13.09642f, 8.53062f, 6.22505f, -0.19707f, -4.97938f, -5.11245f, -6.12874f, -18.07375f },
{ -5.62323f, -6.05179f, -6.20629f, 12.38856f, 1.58998f, -0.50494f, -13.14521f, -5.89100f, -0.46712f, 10.78427f, -6.41734f, -0.37943f, -11.17095f, -24.63096f, 0.04322f, -9.44182f },
{ 7.80323f, -6.40957f, -0.13843f, 12.28536f, 4.12668f, -28.25915f, -0.25356f, 12.31342f, -2.98849f, 8.91774f, -20.60281f, -2.28275f, 7.11412f, -2.27242f, 20.79649f, 5.83541f },
{ 19.24765f, 13.46189f, 2.70777f, -6.97911f, 4.41375f, -8.53672f, -4.15643f, 4.50574f, 7.10438f, -1.65063f, 0.44587f, 1.15631f, 3.41466f, -4.74438f, 1.97052f, -0.05794f },
{ 16.96964f, 5.28815f, 10.06654f, 4.95318f, 6.85754f, 2.33800f, -7.54902f, -5.54027f, 5.71306f, -27.60315f, -17.46131f, -3.25664f, -5.10046f, -3.27574f, 4.98130f, 18.16349f },
{ 4.66757f, -6.72058f, 18.61976f, -4.66033f, 23.24017f, -6.27882f, -11.35664f, -3.37736f, -4.77014f, 5.64639f, 1.51694f, 1.62022f, -2.42794f, 8.43470f, 3.77726f, 11.60554f },
{ 3.37614f, -0.12839f, 1.17780f, -17.12154f, -2.52121f, -4.60801f, 0.77302f, 7.09103f, -10.62245f, 19.37718f, 2.76845f, -18.10461f, -7.54880f, -22.99508f, 2.03382f, -14.04968f },
{ -17.72710f, 0.69177f, 1.76660f, -2.07536f, 3.60660f, 10.75905f, 13.11623f, -2.76577f, -0.50196f, -11.94068f, 3.93102f, 10.49315f, 9.90990f, -7.56162f, -1.27483f, -9.52492f },
{ 8.08552f, 2.24851f, -27.60048f, -2.30933f, -0.15257f, -15.12325f, 11.11204f, -0.35340f, -9.52504f, 2.03181f, -14.93324f, 6.73518f, 7.75878f, -0.57030f, -14.39937f, 10.61578f },
{ -6.75751f, -3.25695f, -7.60215f, 4.75288f, -3.69955f, -8.97518f, -10.79453f, 7.54680f, 10.62511f, 5.03231f, 1.85181f, 5.99006f, 1.12388f, -6.54907f, -17.70331f, -5.25428f },
{ 14.88754f, -17.01315f, -9.69472f, -1.54530f, -11.96556f, -5.44223f, 0.95239f, -5.90047f, 1.07907f, 19.65549f, 12.41536f, 17.22086f, 3.58852f, 12.55425f, 21.70450f, -13.99439f },
{ 2.34900f, -15.87240f, -9.59311f, -1.58804f, 20.78665f, 10.05531f, -8.31544f, 11.46607f, 7.23242f, 22.01338f, -7.91245f, -8.44156f, -3.29907f, 11.01403f, -10.28455f, -3.60482f },
{ 7.33571f, -9.60253f, 11.21109f, -9.39451f, -7.14129f, 10.67933f, -13.25563f, -6.44265f, 7.15232f, 7.19538f, -5.48080f, -0.85107f, -8.40259f, 5.10637f, -10.09021f, -4.31917f },
{ 8.64688f, -7.27043f, 9.27866f, -15.97842f, -5.08140f, 18.67862f, -6.43676f, 9.70401f, -2.86993f, -0.59225f, 18.77915f, -4.51167f, 18.67358f, 2.32357f, 2.42278f, 4.82224f },
{ -5.47221f, 10.69535f, 3.26382f, 3.93985f, -2.67882f, -11.34180f, 6.73931f, -0.39441f, 19.04407f, 4.09599f, 7.85230f, -8.89288f, -12.20201f, -5.06952f, 9.67948f, 13.24732f },
{ 1.12439f, 6.29055f, -4.98890f, 31.66386f, 10.05891f, 10.06889f, 2.46424f, -7.76509f, -1.61223f, -3.80731f, -8.93723f, -17.63149f, -0.75730f, -1.08300f, 2.84867f, -15.27281f },
{ 3.17713f, 9.03897f, 20.14834f, 10.64783f, 5.21284f, -13.46927f, 11.06629f, -2.32908f, 14.00177f, 9.35418f, 7.86225f, -7.90906f, 8.97844f, -4.69128f, 0.16987f, -0.37529f },
{ -10.48617f, 5.21944f, -0.19510f, -0.80078f, -2.90864f, 4.96996f, -4.25799f, 8.92710f, 0.99609f, 2.71075f, -4.11338f, -6.04506f, -6.49388f, 2.71661f, 6.22859f, -21.34950f },
{ 5.32778f, 14.95911f, -5.07455f, 1.48904f, -4.69389f, 10.94671f, 9.30209f, -1.22978f, -11.99445f, -15.52123f, -1.83122f, -5.57052f, -4.22677f, -4.63571f, 0.51317f, -1.90933f },
{ 2.23804f, 14.39313f, -1.27696f, -4.12192f, -8.68640f, 13.31205f, 13.01321f, 0.51249f, 3.41971f, -2.50261f, -6.11464f, -8.94249f, 4.50917f, -21.02324f, 4.02464f, 18.15020f },
{ 18.75604f, -13.02242f, -21.24297f, 11.51113f, 13.84189f, -3.40549f, -2.15068f, 3.11899f, 11.66056f, -7.97839f, 17.09855f, -5.62383f, -16.87811f, 6.95370f, 1.52427f, -19.46079f },
{ 1.66832f, -3.27994f, -9.65858f, 1.78040f, 5.66052f, 7.68919f, -8.04365f, -12.72233f, 8.89771f, 13.50180f, -0.52350f, -3.08377f, 0.78765f, -3.65730f, 8.02456f, -6.51139f },
{ -19.18350f, 7.99973f, 7.06576f, 4.31742f, 17.07704f, 3.21541f, -3.07486f, -9.35891f, -1.86515f, 17.48304f, 4.72444f, -20.74123f, 0.62124f, -14.72305f, 6.63637f, 3.76570f },
{ 5.86429f, -2.14703f, 1.30623f, -1.13921f, -4.36160f, -7.62053f, 5.49502f, 1.87585f, -14.88159f, 14.22076f, 5.09697f, -5.84599f, -7.20747f, -9.35490f, 0.26824f, 15.66831f },
{ 6.73499f, 1.36200f, 2.11913f, 15.56898f, 7.49861f, 5.96153f, -10.17873f, 14.15518f, -5.02150f, 18.20603f, 3.74081f, -6.61738f, 4.48807f, 32.01970f, 12.93566f, 7.60119f },
{ -5.15489f, -18.32901f, -8.88870f, -12.40291f, -2.70353f, -11.35091f, -5.11758f, 14.14044f, -5.74711f, -3.43215f, -4.34630f, 1.04716f, 7.19828f, 8.05527f, -1.19455f, 4.78546f },
{ -4.35742f, -1.94497f, 9.30892f, 2.27136f, 1.05253f, -4.29767f, -34.26793f, 11.29429f, 0.68562f, -4.46530f, -9.93310f, -6.89073f, -6.46120f, 5.94543f, 7.73013f, -10.00751f },
{ 1.65023f, 22.34227f, 0.13929f, -12.72125f, -11.00703f, 1.21113f, 21.76407f, 1.97210f, -19.22523f, 1.52169f, -15.70692f, -15.64409f, -0.73202f, -1.38981f, 3.98991f, 9.04387f },
{ 2.84966f, 6.07547f, 3.58570f, 6.52947f, -0.68329f, 6.65287f, -1.49406f, 5.28794f, -8.19698f, 7.41903f, 4.27177f, 1.63829f, 2.20032f, 22.46014f, -1.54583f, 15.21913f },
{ -11.62038f, -2.01538f, -9.38566f, -8.14470f, 5.06401f, 1.51597f, -8.21417f, 7.43187f, 1.66226f, -2.30820f, -4.44272f, 5.27981f, 6.23395f, -4.91748f, -0.31680f, -4.13894f },
{ -11.75004f, -6.70394f, 0.40274f, 17.63102f, 3.41552f, -9.08154f, 2.93190f, 9.25447f, 4.28252f, 11.65145f, -3.35837f, 1.12236f, 15.19342f, -2.71707f, -17.25886f, 3.41669f },
{ -4.78650f, 14.33788f, 1.61793f, 2.02745f, 13.59131f, 9.06439f, 0.69307f, -15.50964f, 11.06635f, 6.22847f, 5.80115f, -1.68549f, 0.79582f, -5.35130f, -4.40053f, -1.69755f },
{ -10.53233f, 17.49654f, 9.94703f, -7.98527f, -0.23394f, 0.36481f, -2.19528f, -9.08148f, -6.56581f, 2.68488f, -6.67728f, 2.21312f, 17.73666f, 12.56668f, 5.52991f, 13.29497f },
{ 2.02395f, 0.19535f, -15.78858f, 19.00783f, -3.08131f, -6.96639f, -1.88516f, 4.55490f, -16.95493f, -5.28749f, 1.71265f, 13.97343f, -1.16675f, 16.45467f, 4.43563f, -0.00446f },
{ -23.28704f, -9.08449f, 13.57574f, 23.97209f, -1.00628f, 6.61923f, 25.42996f, 5.78321f, -2.02520f, 14.14576f, 8.63647f, 17.67978f, 6.07207f, 6.14393f, -5.95479f, 9.40406f },
{ -10.22027f, -6.26493f, -25.57794f, 3.08988f, 12.61688f, -2.33952f, -8.73802f, 1.42146f, -7.62236f, -6.84572f, -3.52709f, -8.02376f, 3.91852f, 9.44432f, 6.87090f, -17.09289f },
{ 10.60671f, -11.71780f, 6.74010f, 7.94711f, 13.77680f, 6.96699f, 24.45266f, -14.28905f, 7.24828f, 3.02260f, -6.20667f, -7.96155f, -12.58557f, -4.29010f, -1.81962f, 12.40411f },
{ -0.02696f, -8.13514f, 9.54599f, -16.66797f, -4.58869f, 5.72492f, 7.39911f, 10.58929f, 1.17650f, 5.27901f, 7.79591f, -16.03814f, -0.50817f, -16.46714f, -6.82284f, -13.84620f },
{ -13.90271f, -8.63493f, -0.32891f, -0.47256f, 6.51350f, -0.13923f, 0.53009f, -13.15174f, 4.39571f, 2.79459f, 5.05354f, 1.43121f, -3.32112f, 10.21830f, -5.03096f, 3.90579f },
{ 9.29238f, -8.96753f, 7.05174f, 10.12326f, 4.33076f, 2.86371f, 14.89787f, -6.09722f, 2.51686f, 2.60293f, 6.46504f, -4.16556f, 13.70935f, 0.37302f, -4.87065f, -26.69221f },
{ 9.26967f, -5.72783f, 15.24013f, 3.91974f, 2.05821f, -19.67041f, 7.04762f, -5.39975f, 16.23100f, 8.06274f, -20.35625f, 0.43301f, 18.27828f, -21.01060f, -8.28704f, 3.78332f },
{ 4.68872f, -9.20437f, -9.01579f, 18.92678f, 11.46865f, 12.37687f, 3.33575f, -7.06298f, -7.83779f, -3.19651f, 12.74804f, -5.59040f, -9.71617f, 1.22139f, -11.83940f, -0.60076f },
{ 8.29694f, 17.75203f, -8.68522f, 13.21601f, 4.75473f, -9.80423f, 11.92470f, 7.54280f, 4.30334f, -14.04862f, 10.04196f, 7.05391f, -5.95063f, -8.94171f, 6.78410f, -6.91846f },
{ 5.10173f, 6.13720f, -7.08223f, 4.74769f, 7.95608f, 6.55923f, -6.96172f, 1.25892f, 13.33127f, 9.08758f, 5.36629f, 7.03982f, 1.25887f, 2.56211f, 8.57498f, 6.58002f },
{ -19.72231f, -1.75094f, -24.09123f, 6.21190f, -0.20424f, -8.24944f, -0.99261f, -23.35026f, -19.65316f, 1.55055f, -16.46573f, -1.96845f, 0.23217f, -0.18394f, -21.04988f, -17.32432f },
{ 15.37644f, 10.27946f, 16.62206f, -8.30198f, -0.47275f, -11.68426f, -27.67936f, -0.35897f, -15.09353f, 4.51440f, -2.50778f, -7.06586f, 2.00131f, 8.83595f, 12.35621f, 10.33255f },
{ -5.81232f, 7.02993f, -1.74181f, 8.37728f, -2.39086f, -11.41020f, 19.11565f, -5.00003f, -17.82972f, -9.08485f, 10.70484f, 6.69756f, 5.58174f, -6.73863f, -6.27135f, 2.08772f },
{ -5.18903f, 2.19093f, 4.36099f, -15.08386f, -4.81092f, 18.90564f, 3.42986f, -9.88194f, 8.13055f, 14.06610f, -7.68901f, 1.08748f, 15.59429f, -10.97635f, 22.57127f, 5.61856f },
{ -2.30160f, -1.19684f, -3.70708f, 7.85840f, -14.15466f, 6.56121f, -4.81022f, 2.21551f, -5.93742f, 5.58828f, 14.79416f, 7.47601f, -19.21750f, 8.77066f, -4.52437f, 8.70586f },
{ -4.58033f, 6.74548f, -3.21882f, 11.34141f, -6.83580f, -20.44659f, -1.23349f, -0.85447f, -3.78562f, 10.73449f, -4.12289f, 20.17626f, -8.77007f, -6.82530f, 10.05888f, 6.88085f },
{ 2.07085f, 1.73139f, 6.21928f, -17.06960f, 12.11351f, -0.02265f, -19.06164f, -10.31482f, 15.95202f, -3.99557f, 16.93817f, -2.64368f, 2.63551f, 11.75753f, -0.61110f, 6.41266f },
{ -2.40236f, 6.40345f, -0.72049f, -10.41189f, -1.28622f, 5.25111f, -5.13139f, 6.41955f, -3.39268f, 8.06899f, -8.04433f, 5.05449f, 19.41040f, 1.81987f, 11.12214f, 0.43884f },
{ 1.38229f, 4.45723f, 6.15785f, -23.06832f, -3.79301f, 8.26126f, -2.12424f, 4.90438f, -0.23631f, 12.06505f, 13.25528f, 3.11878f, -13.74570f, 9.51452f, 15.70162f, 11.31268f },
{ -15.95447f, -3.67544f, -17.23474f, -15.35616f, 16.90539f, -2.45885f, -10.18997f, 5.23467f, -0.71648f, -4.64342f, -10.69605f, 2.40508f, -6.15259f, -12.85411f, -2.99166f, 0.14469f },
{ 0.18101f, 4.89424f, -1.66093f, -1.64693f, -9.25450f, -11.58572f, -1.35999f, 3.92472f, -2.75427f, 21.11466f, 17.49433f, 2.28266f, -7.77562f, 2.83769f, 4.48336f, -2.04403f },
{ -6.50970f, 2.16634f, 8.74692f, 4.52000f, -4.40044f, 0.82804f, 5.98668f, -10.86700f, 11.42360f, 9.65814f, 3.82732f, 10.41681f, -2.77270f, 19.69403f, -0.20567f, -5.79499f },
{ 10.59592f, -7.57644f, -4.43839f, 12.29029f, -0.86098f, 1.25659f, 6.62371f, 6.80772f, 0.53094f, 7.54646f, 15.82596f, 6.93818f, -13.25628f, 17.55964f, 3.07823f, 1.66717f },
{ -3.07247f, 17.20398f, 13.19853f, 2.86002f, -6.39452f, -1.09334f, -9.02757f, -10.35754f, 5.92557f, -6.09126f, 8.49098f, 8.85532f, -0.28676f, 7.45827f, -0.70800f, -0.68918f },
{ 6.23497f, -3.37045f, 6.45955f, 1.44590f, 0.39280f, 2.26968f, -10.96742f, 3.81342f, 1.22856f, 2.14435f, -3.48384f, 0.61778f, 12.68666f, -13.31067f, -5.18221f, -0.40611f },
{ -0.28761f, 9.31863f, 4.07022f, -19.94507f, 2.63357f, 3.72719f, -5.68611f, 12.21310f, -20.38993f, -15.06842f, -10.01377f, 3.41256f, -5.30906f, 1.32342f, -0.61181f, 1.77770f },
{ -5.51814f, -24.30135f, 9.22089f, -0.68410f, -1.17919f, -0.74715f, -10.93197f, -21.91452f, 8.99080f, -15.08796f, 8.15458f, -1.16979f, -4.36618f, 6.43093f, -2.54519f, 3.69922f },
{ 12.95240f, 6.68332f, -21.81334f, -11.77805f, -5.43170f, 17.40222f, 25.76531f, -7.08463f, -1.57926f, 3.91001f, -3.62852f, -4.99498f, 8.70011f, -17.32559f, -12.08368f, 1.05570f },
{ -17.06986f, -16.31016f, -3.32660f, 6.29527f, 3.32180f, -3.85243f, 2.16676f, -4.04014f, -6.28292f, 5.13291f, 18.18085f, 3.22056f, 13.84691f, -15.41323f, 0.95243f, 10.28260f },
{ 4.21169f, 0.87164f, -10.91679f, 7.04728f, -6.24970f, 9.22876f, 8.66887f, 2.15908f, 8.14618f, 11.34692f, 13.80057f, -5.05653f, -13.75157f, 15.36230f, 6.15595f, -9.10312f },
{ -18.81869f, 8.96739f, -12.14011f, -8.80222f, -5.94592f, -7.53383f, -6.74384f, -24.90683f, 2.14835f, 9.96286f, -6.24389f, -0.64921f, -19.47458f, 17.69494f, 3.58311f, -0.71348f },
{ 1.79820f, 9.24430f, 4.65128f, 1.92322f, 0.56947f, -0.15682f, -2.69070f, -9.95247f, 2.86206f, 5.52856f, -24.02310f, -13.09501f, -2.20498f, 2.82777f, -0.22080f, -2.15736f },
{ -11.19116f, 18.12927f, 2.14058f, -14.50519f, -3.16723f, 5.25467f, 2.04528f, 11.18653f, -5.20799f, -8.87821f, 14.01859f, 0.41917f, -5.13519f, -13.37073f, -4.56442f, -11.53918f },
{ 13.54559f, -0.74368f, 12.43177f, 0.31515f, 20.23852f, 10.99495f, 16.88308f, -7.30105f, 8.62446f, -11.87346f, -40.71430f, 10.30224f, -10.49630f, -0.52391f, 0.20469f, 7.73978f },
{ -4.09022f, 0.08674f, -4.44551f, -3.21257f, -1.53608f, -3.34567f, 14.73091f, -6.66596f, -3.50344f, 9.14272f, 0.78542f, -5.99279f, 16.33897f, -9.64794f, 6.58285f, 11.47268f },
{ 26.41559f, 4.51298f, -2.46192f, 17.59973f, -9.34984f, 9.39618f, -3.85501f, -16.75697f, -1.21926f, 10.85105f, -1.92074f, 4.27042f, -19.55090f, -1.61764f, -2.84825f, -1.89421f },
{ 9.96848f, 3.18718f, -12.11839f, -8.60448f, 4.24350f, 6.65813f, 21.41241f, 5.27245f, -10.01080f, -18.66147f, -10.02375f, 3.80674f, 2.29815f, -11.60438f, -8.54407f, 13.90972f },
{ -6.80257f, -1.97650f, 13.72634f, -2.45017f, -7.33103f, -5.35189f, 11.79832f, 4.00138f, -2.62757f, 1.13826f, -21.15498f, 13.09786f, -1.14961f, 3.96811f, -6.71372f, -9.93741f },
{ -10.91777f, 10.72457f, -27.56905f, 3.63124f, -10.70734f, 19.02316f, 1.22992f, 10.56785f, -16.00453f, -5.65487f, -14.02820f, -8.85566f, -2.88133f, -3.67933f, -2.95680f, 11.61571f },
{ 9.47027f, 12.17574f, 2.27843f, -7.70055f, -1.33290f, -15.45548f, -12.12624f, 11.43620f, 7.04322f, 6.39682f, 4.85771f, 6.77853f, -7.39784f, -18.26928f, -6.07394f, 10.62436f },
{ -11.87602f, -4.43508f, -20.01089f, 11.52166f, -5.42764f, -10.69663f, -21.41661f, 9.00924f, 12.53182f, 0.10052f, 0.70037f, -11.63716f, -9.32158f, -3.76736f, 12.01789f, 1.65511f },
{ 4.55207f, 6.91422f, 16.30427f, -11.51951f, 15.34674f, 0.44654f, 4.03382f, 11.47636f, 8.87224f, 13.38615f, -10.21544f, -0.19263f, 1.35669f, 6.07368f, -9.76418f, 10.69963f },
{ -4.16105f, 14.02143f, 9.60781f, 0.09532f, 8.21786f, 1.97698f, 4.40551f, -13.37731f, -4.83682f, -8.05079f, -3.30829f, -4.21318f, -13.10564f, 1.24146f, -10.86292f, 2.53542f },
{ -0.01961f, 1.39202f, -14.35598f, 4.49997f, 20.91037f, 10.55110f, -6.27399f, -4.75298f, 9.11866f, 11.82072f, 0.59274f, -8.58890f, 1.13745f, 2.40689f, -0.04480f, -2.37574f },
{ -0.13477f, 10.10099f, 1.21547f, 3.31863f, -5.68906f, -5.76079f, 15.64208f, -5.32847f, 3.07483f, 13.03001f, 3.07821f, 10.02711f, 25.92550f, 12.76702f, 6.91195f, 2.78243f },
{ 9.15510f, -6.95230f, -0.37739f, -10.92119f, -6.97386f, 17.42136f, 9.53714f, 10.84388f, -2.33962f, 3.72862f, -3.95197f, -11.15693f, -13.17150f, -3.76733f, -28.56147f, 3.30517f },
