{
{ 0.08144f, -0.76467f, 0.16752f, 1.75935f, -1.41071f, -1.34018f, 0.90333f, 1.01198f, -1.29336f, -0.10368f, 2.27721f, 0.09245f, 0.25523f, 1.51169f, -0.95130f, 0.06777f },
{ 0.51526f, 0.30302f, -0.04366f, -0.33590f, 2.11091f, -0.05346f, -0.57595f, -0.60545f, -0.81530f, -1.60873f, 0.40930f, 0.58798f, 0.08771f, 1.02376f, -1.35211f, -0.18990f },
{ -0.18559f, -0.48777f, -0.77214f, -0.38118f, -0.62661f, 1.31094f, 0.93572f, 0.90880f, 0.77421f, 0.73477f, -0.73963f, -0.22859f, -0.12287f, -1.34421f, 0.08338f, 0.36645f },
{ 0.68044f, -1.20830f, 0.52346f, -0.83681f, 0.03240f, -0.37509f, -1.69805f, 0.45565f, -1.36761f, 1.49568f, 1.43556f, 0.36956f, 1.05557f, -1.19904f, -1.48143f, 0.71751f },
{ 1.02952f, -1.15793f, -0.16880f, -0.19240f, 0.10834f, 0.28485f, 0.98083f, -1.41791f, 1.52109f, 3.57658f, 0.83991f, -0.40712f, 0.22192f, 0.97835f, -2.64080f, 0.34459f },
{ -0.11629f, 1.20646f, -0.32387f, 1.48185f, 0.79137f, -0.92110f, 0.89457f, -1.39943f, 0.39021f, 0.60332f, -2.71559f, 1.23935f, -0.87179f, 0.20652f, -0.18640f, 1.13782f },
{ 0.78844f, -1.28223f, 1.39254f, 0.58104f, 0.62830f, 0.92136f, 1.40892f, 0.02915f, -0.38950f, -0.31416f, -1.12928f, 0.02894f, -0.39288f, 0.67094f, 0.24771f, -0.17852f },
{ 0.40242f, -0.88245f, 1.75877f, 0.26605f, 2.57496f, -1.63027f, -0.42495f, -0.52763f, -0.58291f, -0.05845f, -0.74602f, -0.70500f, 0.46376f, -0.55145f, -1.12706f, -0.80495f },
{ -0.00490f, 0.09784f, -1.62219f, -0.16621f, -1.86984f, -1.86023f, -0.91714f, -1.53062f, -0.58606f, -0.46212f, 1.21014f, -0.72920f, 2.02581f, -0.69862f, 0.28869f, 0.75240f },
{ 0.50893f, -0.21258f, -0.98389f, 0.39787f, 0.91284f, 1.05384f, -0.48367f, 1.11901f, 0.09836f, 0.63102f, -2.02288f, 0.52444f, -0.84470f, 0.30955f, -0.79842f, 0.34665f },
{ 0.43550f, 0.05057f, 0.33920f, -1.34759f, 0.54623f, 1.72641f, 0.91448f, 0.12246f, 0.28428f, -1.52176f, -0.39694f, -0.12623f, 0.53297f, -0.46627f, 1.48278f, 2.36379f },
{ 0.39617f, -1.05663f, 0.24793f, -0.03315f, 2.06853f, 0.50026f, -0.70621f, 0.92265f, -0.38743f, 0.40611f, -0.02735f, 1.44776f, 1.74322f, 0.28938f, 0.47009f, 1.28957f },
{ 0.41643f, -1.57316f, 0.48802f, 0.42066f, 1.30618f, 0.31852f, -0.18488f, 0.43123f, 2.64444f, -0.31376f, 1.35457f, 0.86984f, 0.68260f, -0.06644f, 1.01505f, -0.40933f },
{ -0.58634f, -0.55904f, 1.16867f, -0.05031f, 0.81407f, 0.74671f, -0.16536f, -0.25934f, 1.10784f, -1.10824f, 1.08398f, -0.58189f, 1.72425f, -0.35360f, -1.84303f, -0.31341f },
{ 0.82899f, 1.08264f, -0.48165f, -1.53422f, 0.18632f, 0.99392f, 0.82596f, 1.10029f, 0.94748f, -0.88449f, 0.04445f, 1.19590f, 1.38495f, 0.22579f, -0.89348f, 2.29972f },
{ -0.25351f, -0.48057f, -2.10124f, 1.07324f, -0.82854f, 1.53015f, -1.58947f, -0.25396f, 1.71232f, 0.14702f, -0.72844f, -1.13841f, -1.67167f, 1.64703f, 1.76912f, -0.72158f },
{ 0.08317f, 0.00086f, 0.88649f, 1.17024f, -1.24367f, 0.06023f, -0.42578f, 1.45983f, 1.18370f, 0.06225f, 0.55542f, -1.51026f, 0.92774f, 1.44974f, 0.04743f, 1.09563f },
{ -0.83709f, 0.29625f, 0.35951f, 0.08235f, 0.69224f, 0.30008f, 0.34030f, 0.48951f, -1.79293f, 1.09742f, -0.11366f, -0.90636f, -1.52793f, -2.67372f, 0.85754f, -1.65703f },
{ 0.98518f, -0.02165f, 0.34050f, -0.26274f, 0.66319f, -1.10843f, 0.13221f, 0.53160f, -0.17628f, 1.51394f, 1.27330f, 0.82132f, 0.27694f, 2.23337f, 1.49751f, -0.45111f },
{ 0.12020f, 0.03895f, -1.31003f, -2.34067f, -0.10810f, -0.10648f, 0.13869f, -0.01523f, 1.38656f, 0.71216f, 1.13550f, -1.04040f, 1.06483f, -0.77217f, 0.29823f, -0.92482f },
{ 0.90569f, -0.54385f, -2.27219f, -0.17566f, -1.27142f, 0.62442f, -0.46512f, 0.30904f, -0.69341f, 1.64310f, 1.03100f, -0.18453f, -0.73578f, 0.24771f, 0.04784f, 0.93468f },
{ -0.58654f, -0.71418f, 0.54695f, -0.60179f, 0.76317f, -0.00828f, 0.49682f, -0.96774f, -0.17707f, -1.26004f, 0.21775f, 0.58153f, -0.46218f, -1.09713f, 2.18969f, 0.56498f },
{ 1.63374f, 1.15336f, 0.51366f, 0.06453f, 0.95507f, -1.45277f, 0.08171f, -0.66605f, -1.15139f, -0.37820f, 1.87779f, -0.33236f, 0.25685f, -0.39902f, -1.03887f, 0.31449f },
{ 0.16257f, 1.52453f, 0.69532f, -1.28812f, 0.23852f, 1.28275f, 1.54877f, 0.15324f, -0.19111f, 0.19369f, 0.06756f, 0.09764f, 0.54265f, 0.43207f, 0.32813f, -0.19425f },
{ -0.67035f, -1.00079f, -0.51625f, 0.96009f, 0.34699f, 1.22584f, -0.51730f, -3.24555f, -1.44710f, -0.24578f, -1.10245f, -1.97533f, -0.49539f, 1.35141f, -0.07820f, 0.94855f },
{ 0.43960f, 0.91393f, -1.33669f, -1.98002f, -0.98584f, 0.49234f, -1.63219f, 2.32338f, 1.17616f, -1.03641f, -0.31046f, 0.17480f, -0.93109f, -0.84606f, -1.47229f, 1.43051f },
{ 1.68179f, 0.66618f, 1.21277f, -0.40454f, 1.58561f, 0.67671f, 0.29051f, 0.78886f, -0.79512f, 0.19804f, 0.25328f, 1.09886f, 1.09944f, -0.75467f, -1.11572f, -1.42358f },
{ 0.12502f, -0.25622f, -1.16977f, 0.01287f, -0.87158f, -0.96790f, 0.82297f, -0.15386f, 0.30500f, 0.15777f, -2.29313f, -0.13875f, 0.10980f, 0.82789f, 0.01875f, 0.37252f },
{ 0.01347f, -0.12172f, -0.30543f, -0.43170f, 0.63585f, -0.70511f, 0.33286f, -0.31058f, -2.41898f, -1.68602f, 0.31135f, 1.63933f, 1.37131f, 0.34988f, 0.63398f, -1.17698f },
{ -0.26723f, -0.03727f, -0.53851f, -0.59779f, 0.90235f, -0.18031f, 2.49281f, 0.35158f, -0.00919f, 0.27789f, -1.02779f, -0.20342f, -0.28911f, -0.76375f, -1.56213f, 0.77809f },
{ -1.14712f, -0.17819f, -0.26222f, -0.91653f, -1.47246f, -0.48270f, 0.79371f, 0.13663f, -2.59573f, 0.54532f, 0.32930f, 0.01575f, -1.68825f, 1.70594f, -1.16112f, 0.38106f },
{ 0.07374f, -0.45574f, 1.19913f, 1.94302f, -0.19600f, 0.15753f, 0.91535f, 1.69173f, -0.36136f, 1.78164f, -1.01761f, 0.39123f, 0.84808f, -1.79385f, -0.97691f, 0.53400f },
{ 0.16096f, 1.33716f, 0.83149f, -1.88559f, -1.28367f, 1.10022f, 0.52661f, 0.74487f, 0.27261f, 0.20810f, 0.26151f, -0.51652f, 1.47872f, -0.40410f, -0.65295f, 0.58187f },
{ -0.42767f, 0.16727f, -0.17555f, -1.18869f, -2.68380f, -1.06361f, 0.85431f, -0.79263f, 0.07727f, 0.37375f, -0.81398f, -0.77615f, 0.39214f, 0.80396f, -0.97698f, -0.44217f },
{ 0.65721f, 3.02637f, 2.14360f, 1.23875f, -0.26008f, 0.46812f, 0.45047f, 1.04766f, -0.60497f, 0.11218f, 0.07495f, 0.26864f, -0.50715f, -1.16358f, 0.12654f, -0.10028f },
{ -0.74050f, 0.50645f, 1.74094f, -0.79053f, -1.42535f, -1.95955f, -0.16257f, -1.19841f, 0.12216f, 1.20545f, 1.81502f, -0.78050f, 0.04182f, -0.40157f, -0.63801f, 0.83879f },
{ -0.16686f, 1.52280f, -0.28403f, 1.62931f, -0.69315f, 1.68490f, -1.15368f, 0.86270f, -0.03138f, -0.09265f, -0.12661f, -1.30318f, -0.89364f, -1.27732f, 0.29593f, -0.86888f },
{ 0.30410f, 0.29569f, -1.11691f, 0.14879f, -1.10157f, 0.93021f, 1.67518f, 2.40867f, -0.66180f, -1.01185f, 1.93731f, 0.32616f, -0.17089f, -0.50521f, -1.09693f, 0.62280f },
{ 0.13277f, -0.57181f, 0.88915f, 1.59849f, 0.97853f, -1.07429f, -0.61144f, 0.90611f, -0.84383f, 0.19105f, -0.39071f, 0.02218f, -1.86526f, 0.72199f, -0.84975f, -0.33059f },
{ -0.08665f, 0.13536f, 0.21495f, 1.61712f, 0.19532f, 0.09499f, 0.65634f, -0.62831f, 0.51430f, 0.87717f, -1.06717f, -0.13267f, 0.31174f, 1.66609f, -0.37187f, -2.63468f },
{ 0.76359f, 1.21233f, -0.40974f, -1.27615f, 0.04679f, -0.56942f, -0.45021f, 0.99587f, -0.79537f, -0.57063f, -0.89980f, 0.38592f, 0.10416f, -0.58137f, 0.75507f, -0.00033f },
{ 1.20656f, 0.95870f, -1.05019f, 0.69529f, -0.59069f, 0.51758f, -1.36784f, 0.02924f, -0.13185f, 1.92157f, 2.13056f, -0.34185f, -1.12044f, 0.61472f, -0.92052f, -0.77710f },
{ 0.74190f, -1.51949f, 1.58963f, 0.73937f, 3.41993f, 0.25664f, 1.34185f, 1.62135f, -2.29747f, 1.18126f, -0.10923f, 1.74207f, -0.56902f, 0.59451f, 0.29080f, 1.45571f },
{ -0.10899f, -0.41005f, 1.28896f, 1.30951f, -0.60600f, 0.43877f, 1.16726f, 0.18458f, 0.99596f, -1.00097f, -0.93292f, -0.22818f, 0.16314f, -0.82930f, 2.20025f, -0.87875f },
{ 0.28963f, -0.64637f, -0.10716f, -0.86026f, 0.96733f, 1.12004f, 1.42506f, 0.11143f, 0.30727f, 0.55090f, -1.42461f, -0.96353f, -0.12080f, 0.75621f, -1.36447f, -0.60694f },
{ 0.88251f, -0.74229f, 0.85392f, 0.09395f, -2.14188f, 0.91137f, 0.33934f, -0.47301f, -0.99313f, -0.29417f, -0.49446f, -0.58613f, 1.04004f, -1.59913f, 0.37166f, 0.21753f },
{ 2.29208f, 0.04491f, 0.65627f, -0.87745f, 2.50883f, -0.45606f, -0.05536f, 0.30194f, 0.12187f, 2.53215f, -2.24842f, 0.57431f, -0.63670f, 1.33607f, 2.03177f, -1.14232f },
{ 0.46556f, 0.06475f, 0.49832f, 0.63888f, 0.57370f, 0.65640f, -2.08298f, -0.69475f, -0.66060f, 0.34349f, 0.38896f, 1.85158f, -0.83684f, 0.10333f, -3.01315f, 0.48039f },
{ 0.50415f, -0.07426f, -1.88150f, -0.79527f, 0.16909f, 0.51645f, 0.84716f, 0.53588f, 0.96147f, -0.02578f, 0.06226f, 1.52411f, 0.03356f, -0.07330f, -0.84767f, -1.66964f },
{ -0.38520f, 1.88787f, 0.79634f, 0.45031f, 0.76828f, 1.29008f, -0.55522f, -0.96578f, -0.60148f, 0.18041f, -1.48449f, -0.00026f, -0.56870f, -0.45339f, 1.39990f, -1.26073f },
{ -0.38278f, -0.94425f, -1.01338f, -0.95340f, -1.10748f, 1.04340f, 1.11740f, -0.17529f, 0.93905f, 0.49712f, 0.37816f, 1.14583f, 0.30362f, 1.34819f, -0.33427f, 0.04934f },
{ -0.16211f, 0.29085f, 1.91081f, -0.61308f, -0.08060f, -0.45728f, 1.39559f, 0.48648f, 0.78130f, 2.22740f, 0.25709f, 1.07269f, -0.89925f, 1.59430f, -0.47763f, -2.49255f },
{ 0.05422f, 0.72671f, -0.72243f, -2.25488f, 0.69248f, -0.43355f, 1.42093f, 0.96178f, 1.70641f, 0.19909f, -1.13762f, 1.04657f, -0.35147f, -0.37272f, -0.85226f, 1.08133f },
{ -0.52890f, -0.34699f, -0.02114f, 0.60879f, 1.02469f, -0.42075f, -0.49914f, 0.93274f, -0.66068f, -0.13530f, 0.86407f, -1.20243f, -0.32667f, -0.64409f, -0.32637f, 0.24697f },
{ -1.24033f, -0.61514f, -0.55901f, 0.79370f, -0.21072f, 0.94783f, 0.40629f, -1.15695f, -1.08842f, 0.62326f, 1.74274f, 0.98001f, -1.67899f, 0.97368f, 0.10647f, -0.34458f },
{ -1.17351f, -1.92633f, -0.74017f, 2.27900f, 0.21257f, 0.05618f, 0.59612f, 1.99593f, -0.22509f, -0.44847f, 1.89862f, -1.12108f, 0.19468f, -0.50078f, -1.60645f, 0.68265f },
{ -0.43179f, 1.38219f, 0.01003f, -2.30528f, 0.30334f, -0.60785f, -0.64462f, -0.64497f, -1.36358f, -0.22785f, -0.43448f, -0.83488f, -0.81414f, 0.55758f, -0.30448f, -0.48027f },
{ -1.82705f, 0.56065f, -0.18915f, -0.62236f, 0.62041f, 1.33105f, 0.78575f, -0.52836f, 0.21215f, 0.48482f, -1.10520f, -1.08011f, 1.42431f, 0.23223f, -1.57410f, -1.05465f },
{ -0.04385f, 0.28380f, -0.57353f, 0.71255f, -1.21939f, 1.30356f, 0.42279f, -0.91063f, 0.41970f, -0.13280f, 0.42896f, -2.51356f, -0.00906f, 0.35007f, -0.11527f, -0.12687f },
{ -1.24515f, -0.59892f, -0.06928f, -0.70473f, -1.17486f, -0.17015f, 0.46681f, 1.05456f, 1.67745f, -0.21666f, -0.24777f, 1.07834f, 0.59648f, -2.40130f, 0.18764f, 0.44586f },
{ 0.80337f, 0.66100f, -1.77171f, 0.54958f, -0.27549f, -0.98521f, 2.39252f, -0.18416f, 0.98876f, -0.81561f, -1.98739f, -0.90773f, -0.99248f, -3.15801f, 1.54776f, 0.84455f },
{ 0.35218f, -1.46386f, -0.26165f, -0.10038f, -1.17785f, 0.20969f, 1.74494f, -0.67281f, 0.26992f, -0.49669f, 0.89912f, -0.76422f, 0.60795f, -1.30805f, 0.65072f, -0.45430f },
{ -1.17620f, 0.15308f, -0.98042f, 0.35848f, 0.56756f, 0.90760f, 2.21948f, -0.97081f, -1.61312f, 0.47534f, -0.84139f, 0.80977f, -1.46332f, -1.01552f, -0.87842f, -3.09756f },
{ -0.26480f, -0.70736f, -0.49515f, 2.08464f, 0.30112f, 0.95603f, 0.60137f, -0.06608f, 0.91858f, 0.27192f, 0.82988f, -0.44816f, 0.20694f, -0.13573f, 0.72674f, 0.28559f },
{ 2.14306f, -1.49853f, -0.71134f, -1.33470f, 0.72856f, -0.34535f, -0.71109f, -0.29733f, 1.01045f, 0.69956f, -1.84217f, 0.61961f, -0.45432f, -0.13788f, 0.94671f, 0.71922f },
{ -2.47975f, 0.70915f, -0.39193f, 0.92423f, -1.00257f, 2.07257f, 0.74169f, -0.45771f, -0.58187f, 1.12938f, -0.07427f, -0.33338f, -0.02035f, -1.20653f, -0.61846f, 0.06961f },
{ -0.50928f, -1.53531f, -0.44807f, -0.02899f, -0.64286f, 0.67190f, 1.71610f, 0.77271f, 0.00134f, -1.09269f, 1.62519f, -0.20555f, -0.46826f, -0.82314f, 0.22994f, -1.01715f },
{ -0.38493f, 1.07248f, -1.09153f, 2.31874f, -0.18797f, 0.03355f, 0.48856f, -0.66185f, 1.31964f, 1.65146f, 0.89073f, -1.07436f, 0.71144f, -2.61887f, -0.95249f, 1.30828f },
{ 0.13385f, -0.75923f, 0.98765f, 1.21288f, 0.43456f, 0.82252f, -0.02562f, 1.56371f, -0.13415f, -0.33277f, 0.70017f, 0.89688f, -0.19687f, -1.54531f, 0.86723f, -1.64474f },
{ 0.09803f, -1.70750f, -0.43983f, -1.39423f, 0.43056f, 0.26474f, -0.04090f, 0.35357f, -0.92134f, -0.14285f, -1.02738f, -0.82755f, -2.44299f, 0.28978f, 1.19461f, 0.31585f },
{ 0.09972f, -0.71723f, -0.89759f, -1.38288f, 0.41693f, 0.23080f, -0.70383f, 0.57122f, 1.67343f, 1.74301f, -0.62495f, -0.72504f, -0.74288f, -1.12720f, 1.55618f, -0.25253f },
{ -2.00191f, 0.01921f, 1.29095f, -0.98875f, -0.76830f, -0.07240f, 0.48259f, 0.57519f, -0.83852f, -0.85069f, 0.08311f, 0.81151f, 1.60821f, 1.66180f, 0.04512f, 0.94541f },
{ 0.67871f, -1.98925f, -0.67873f, 0.93459f, -1.91623f, 1.62161f, 0.48969f, 1.55841f, -1.00493f, -0.55945f, 0.54983f, -0.63770f, -1.13811f, 0.17315f, -1.52290f, 0.38898f },
{ -0.64598f, -0.01968f, 0.68911f, 0.43500f, -1.26102f, 0.24249f, -0.64576f, 0.64268f, -0.33720f, -0.02982f, 0.12710f, -1.14239f, 0.85254f, -2.26416f, 1.70128f, -0.95317f },
{ 2.03427f, -0.32136f, 0.14803f, 1.05302f, -0.39061f, -1.26892f, 1.19458f, 1.77725f, 0.57002f, 1.39181f, 0.66888f, -0.66053f, -0.02363f, -2.22700f, -0.93214f, 1.14522f },
{ -1.03657f, -2.75417f, -0.40243f, 0.05293f, -0.82350f, 0.62107f, 0.22126f, -0.75378f, -0.99354f, -0.23621f, -1.11441f, 0.65680f, 0.30431f, 1.16198f, -2.69229f, 0.90273f },
{ 1.00379f, -0.73465f, 1.10679f, -2.39932f, -1.34288f, -0.79310f, -1.10811f, 2.20168f, -1.50980f, 1.01214f, 1.80368f, -1.89785f, -1.63297f, -0.76176f, -0.47079f, 0.61804f },
{ -0.74527f, -0.58939f, -1.62914f, 1.63647f, -1.23248f, -0.59460f, -0.18633f, -0.76577f, 0.68050f, 1.08184f, 1.02848f, -1.24790f, 0.10503f, -0.79384f, 0.09444f, 0.39544f },
{ -1.09801f, -0.38495f, -0.23502f, -0.01975f, 0.63540f, -0.73209f, 0.76118f, -0.52435f, -0.21044f, -0.92758f, 0.83534f, 1.22842f, 0.42504f, 0.07778f, 0.17194f, 2.51806f },
{ 0.72656f, -0.61733f, -0.18191f, 0.76473f, -0.25027f, 0.24041f, -0.68923f, -0.54447f, 0.92893f, 0.41945f, 0.24141f, 0.01187f, 0.19913f, -0.97825f, -1.11662f, 1.95772f },
{ -0.24271f, 1.20691f, 2.44369f, -1.39041f, 1.71766f, 0.79134f, 0.60246f, 1.09142f, 0.46062f, -0.47766f, -0.31727f, -2.17379f, -0.53283f, 0.04761f, 1.95617f, -0.31458f },
{ -0.86620f, 0.74519f, -0.93014f, 0.45625f, 0.92830f, -0.70755f, 1.40364f, 0.72191f, -0.54499f, 0.34179f, 1.66300f, -0.39624f, 1.36606f, -0.23393f, 3.07837f, 0.32041f },
{ 0.15823f, 0.37691f, -1.82033f, 1.76145f, -0.55286f, 0.13982f, 0.57462f, -1.06230f, 1.72839f, 0.29852f, 0.56243f, 0.31442f, 0.59899f, 1.83263f, -0.15510f, 1.08425f },
{ -1.50781f, 0.08965f, 0.12366f, 0.91213f, 0.74245f, -0.99557f, 0.79396f, -0.73100f, -0.42693f, 0.89512f, -0.38552f, 2.04756f, -1.76754f, -0.63147f, 0.01013f, -0.99610f },
{ 0.12370f, -0.00053f, -1.57369f, -0.34247f, -1.80186f, 0.68445f, 0.05114f, -1.52576f, 1.88900f, 0.00301f, -1.24779f, -0.21448f, -1.30121f, 0.51795f, -0.09136f, -1.20319f },
{ -0.09457f, 1.21919f, -0.57210f, 0.09803f, 1.09900f, 0.96145f, -0.03558f, 0.17162f, 0.74323f, 1.38140f, -0.63374f, -0.98143f, 0.06218f, 0.85543f, 1.30815f, 1.85894f },
{ 0.60809f, 0.36884f, 1.19519f, -1.70331f, 0.48136f, -0.71489f, -1.15078f, 0.59601f, -0.67086f, -1.35557f, -1.61840f, 1.47765f, -0.13398f, -0.52486f, -0.03271f, 0.81351f },
{ -0.77703f, 2.16167f, 0.95151f, -0.39248f, 0.42505f, 1.76372f, -0.51408f, -0.82248f, 0.83678f, -0.02628f, 0.80687f, 0.53207f, 0.37934f, -0.23137f, 0.49881f, 0.46649f },
{ 1.64245f, -0.52545f, -0.44380f, -0.24339f, 0.92746f, 0.52098f, -0.44773f, -0.81113f, -2.10747f, -0.49640f, -0.12646f, -0.88723f, -0.93753f, -0.56074f, -0.83267f, -1.98286f },
{ -0.67227f, 0.03827f, -0.16634f, -0.88126f, -0.60633f, 0.35487f, 0.46364f, 0.25483f, -0.25264f, 0.85253f, -0.66831f, -0.37068f, -0.46572f, 1.37674f, -1.64956f, -0.30081f },
{ 1.78418f, 1.66189f, 0.44642f, -1.94688f, 0.08546f, 0.83300f, -0.37691f, -1.12328f, -0.29994f, 0.80320f, 0.18342f, -1.08348f, 1.26180f, -1.52817f, 0.44520f, 1.80317f },
{ -2.01756f, -1.13628f, -0.66794f, 2.09527f, -1.25523f, -1.15650f, 0.66341f, -1.60048f, -0.63656f, -2.04243f, 0.52893f, 0.10092f, -1.31616f, 0.48237f, -0.45997f, 1.81491f },
{ -0.10665f, 1.62279f, -0.18285f, -0.34937f, -0.39543f, -0.93463f, -1.09786f, 1.32297f, 2.01931f, 0.26849f, -0.35263f, 0.60150f, -0.58552f, -0.20354f, -0.71374f, -0.74217f },
{ 1.88972f, 0.09584f, 0.48550f, -0.66912f, -0.06334f, -1.01286f, 0.16871f, 0.53621f, -1.11092f, 0.65967f, 0.03865f, -0.08517f, -0.57537f, 1.77060f, 1.09673f, 1.80636f },
{ -1.39401f, 0.12864f, -0.15062f, -0.88931f, -1.35955f, 0.00543f, -0.02343f, 0.91271f, -1.05532f, 0.14766f, 1.21109f, -1.23062f, -0.61211f, -0.28171f, 3.38853f, -0.53265f },
{ 1.19463f, 0.69687f, 1.47978f, -0.65505f, 0.75424f, 1.92247f, -1.39166f, 0.44026f, 1.33296f, -1.63422f, 0.82740f, 0.04158f, -1.52807f, -0.65794f, -0.23191f, 0.26738f },
{ 0.42415f, -1.98950f, 0.04416f, 1.49840f, 1.04901f, 0.03694f, 1.67841f, -1.04819f, -0.18915f, 1.26937f, -1.06870f, -0.01095f, -2.09838f, 0.11442f, -0.94347f, 0.02624f },
{ 1.03694f, 1.16363f, -0.23344f, 1.46201f, 0.27329f, 1.59981f, 1.13888f, -0.38498f, 1.50481f, -0.26952f, -0.77987f, 0.62363f, 0.73662f, -1.72681f, -2.15150f, -1.27280f },
{ -1.46673f, 0.82075f, 0.51525f, -0.07119f, 0.66505f, -0.47216f, -0.46879f, -0.03523f, -1.89242f, 0.31800f, 0.08674f, 0.95728f, -0.78350f, -0.95156f, -0.01588f, -2.33427f },
{ 1.11255f, 0.97730f, -0.01870f, -2.01584f, -1.33856f, -0.30078f, -1.58671f, -0.84090f, 0.84355f, -0.71816f, -0.29009f, 0.88186f, 1.35306f, -0.22164f, -2.23779f, -1.08379f },
{ -0.40952f, 2.54322f, 0.31519f, 0.59197f, -0.62300f, -1.22335f, 0.00633f, -0.57333f, 0.78448f, 1.04360f, -0.66761f, 0.49033f, 0.57414f, -0.54555f, -1.28341f, -0.51210f },
{ -1.65167f, -0.00936f, 0.61230f, -0.06770f, 1.43065f, -0.15575f, -1.13155f, -0.39028f, -0.08582f, -0.66804f, 0.88514f, 0.58696f, -1.53906f, 1.10076f, -1.79061f, -0.08117f },
{ -0.96938f, 0.47132f, -0.31350f, -0.86609f, 0.53685f, -1.48645f, -0.70849f, -0.63750f, 0.23224f, -0.88523f, -1.00264f, -1.43172f, 1.65544f, 0.75511f, 0.53061f, -1.03339f },
{ 1.27576f, -1.29003f, -0.50664f, -1.11703f, 0.71306f, 0.83031f, 0.65340f, -0.00236f, 1.54434f, -0.40461f, -1.81025f, 1.40818f, -0.41430f, -1.44189f, 0.19372f, -0.17447f },
{ 0.43158f, -0.98965f, 0.07305f, 0.09719f, 1.58870f, -0.41616f, -0.45084f, 0.43760f, 0.78228f, -0.96977f, -1.05329f, -0.75269f, -1.06165f, -1.59745f, -2.78105f, 0.03896f },
{ -0.35643f, -0.84377f, 0.43002f, 0.27700f, -0.87831f, 0.53413f, -2.57084f, -0.58028f, 1.29486f, -0.95500f, -0.14453f, 0.28604f, -0.57860f, -1.58337f, 0.10561f, -0.37750f },
{ 0.07575f, 1.63565f, -1.01968f, -0.11015f, -0.42846f, 0.90901f, 2.01167f, -0.42044f, -0.32794f, 0.26825f, 0.46855f, -0.07984f, -0.88913f, -0.47863f, -1.37930f, 0.31371f },
{ 0.43067f, -1.42388f, 0.87080f, 2.09117f, 0.32633f, 1.79758f, -0.65523f, 0.32669f, -0.89116f, 0.03597f, 0.77911f, 2.75667f, 0.35442f, 0.16834f, 0.83456f, -0.30231f },
{ -0.30708f, 0.48250f, -0.56316f, -0.73433f, 0.00606f, 0.82538f, -1.44412f, 0.32407f, 0.16279f, 1.15160f, 0.69833f, -0.05819f, 0.24202f, 0.06021f, 0.35374f, -0.72507f },
{ -1.49941f, -0.67092f, 0.75385f, 0.27860f, -1.19474f, 2.02586f, -0.60088f, -0.22078f, 1.95576f, 1.04898f, -0.92709f, 1.11260f, -1.12063f, 1.05488f, -2.27842f, -1.07604f },
{ -1.00262f, -0.40952f, -1.08451f, 0.86214f, -0.31236f, 0.17541f, -0.44134f, -1.73100f, -0.45482f, 1.06101f, 1.27985f, 1.66095f, 0.61331f, 0.01464f, 0.04347f, -0.82208f },
{ 1.49018f, 2.22324f, -0.36861f, 0.19365f, -0.26249f, -1.67728f, -2.14276f, -0.36627f, -0.61198f, 0.96134f, -0.90064f, -1.23413f, 0.27567f, 0.68218f, 0.31163f, 0.03015f },
{ 0.21219f, 0.08126f, -1.43871f, 0.06620f, -0.32649f, -0.22607f, 0.21502f, -0.67619f, -0.49384f, -1.12535f, -0.14267f, -0.04193f, 0.21356f, 0.82693f, -0.75691f, -0.19107f },
{ -0.48963f, -0.60515f, -0.65770f, -1.47474f, -0.10848f, 0.81201f, 0.69875f, 0.97100f, 0.65039f, 1.08820f, 0.62259f, 0.45160f, -0.91078f, -0.86762f, -1.24007f, 0.56476f },
{ 0.79169f, 0.28919f, 0.00402f, 0.24623f, -0.69134f, 1.66460f, 0.17468f, -1.73082f, 0.48267f, -0.12166f, 0.98849f, 1.61830f, 0.04180f, -0.45874f, -1.03798f, -0.14085f },
{ 1.23376f, -0.24014f, -0.42531f, 0.21661f, -0.58470f, 0.91183f, -0.55273f, -0.76544f, -0.46476f, -0.94066f, -0.54561f, 0.24732f, 0.12239f, -1.35844f, -0.23914f, -0.88118f },
{ 1.08694f, 0.06928f, 0.12512f, -0.57899f, -0.47059f, 0.62529f, 1.19804f, -0.65028f, -0.52614f, -0.89053f, -0.58620f, 1.56698f, 1.40851f, -0.93592f, 0.46232f, 0.03175f },
{ 0.18964f, 0.50724f, -0.95504f, -1.72477f, -0.53518f, -0.40013f, 1.91344f, 0.07246f, -1.74236f, -0.64422f, -0.52717f, -0.46699f, -0.81581f, 2.39192f, 1.44573f, -0.93332f },
{ -0.47974f, 0.64691f, -0.77772f, -1.02717f, 1.14741f, 0.21256f, -0.27664f, -0.36275f, -0.06209f, 0.42768f, 0.44920f, 0.89430f, -1.61319f, 1.85121f, 0.98633f, -1.93584f },
{ -0.14756f, 0.71202f, -0.60353f, 0.49013f, 0.18477f, -0.33888f, 1.07965f, -0.34467f, -0.40631f, -1.10236f, -1.30286f, -0.39597f, 0.42179f, -0.62579f, 0.36662f, 0.58686f },
{ 2.43042f, 0.23488f, 0.85326f, 0.18778f, -0.74115f, 1.06719f, 0.00068f, 0.51984f, 0.22660f, 0.71551f, -0.72436f, 0.58035f, -0.40304f, 0.00900f, -2.78792f, 1.20178f },
